trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.6, 'e': 5.6532308214144386e-05}",30,22,15.136740161384722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 5.569169079973268e-05}",20,1,32.83648186133442,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.6, 'e': 5.486968449931413e-05}",25,16,18.530410878327594,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 5.406574394463668e-05}",25,8,29.53038038050214,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 5.3279343598486864e-05}",20,12,15.606143163226344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 5.250997689561016e-05}",20,7,22.954473609332055,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 5.175715542673774e-05}",25,1,32.42830268269501,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 5.102040816326531e-05}",20,3,32.9427832087341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 5.02992807202857e-05}",20,0,28.518775769281365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.6, 'e': 4.959333465582226e-05}",35,4,51.271186021966855,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 4.8902146804244705e-05}",35,17,28.94260108056125,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.6, 'e': 4.8225308641975306e-05}",20,0,35.78272698186855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.6, 'e': 4.756242568370987e-05}",20,8,15.422349784402396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 4.6913116907487336e-05}",20,12,10.937004627640409,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 4.627701420704336e-05}",20,12,12.258506636432273,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
