trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",20,1,27.736200142519966,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",25,11,27.32772182813669,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",20,0,28.611144251019596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",25,18,12.61297142256731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",25,18,14.430530390199475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.00043402777777777775}",30,19,22.82544145532202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.00041649312786339027}",25,0,-53.14912773169636,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.0004}",25,6,24.833124175234914,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.00038446751249519417}",20,6,-18.10222467365541,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.7, 'e': 0.0003698224852071006}",30,7,38.12874871496588,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.000355998576005696}",25,13,0.28427830743788984,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.0003429355281207133}",20,0,28.007400070272073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.00033057851239669424}",20,1,24.986489230681713,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.00031887755102040814}",20,10,15.99514595879985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.0003077870113881194}",30,15,28.345029719422836,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
